新指标ID,数据层级,对象类型,数据指标,旧指标ID,业务定义,录入说明,录入方式,关联指标ID,来源Sheet,当前身份证位置,是否有待确认项,待确认-数据来源,待确认-业务口径,待确认-计算规则,待确认-统计范围
L3-073,L3,复合业务指标,渠道折算进阶转化率,M-152,某渠道折算进阶单数占渠道人数的比例。,折算进阶单数 ÷ 渠道人数。,公式计算,L2-036 折算进阶单数；L2-035 渠道人数,流量数据沉淀,原Sheet下方横向身份证,无,,,,
L3-074,L3,复合业务指标,渠道获客成本,M-153,某渠道广告费用平均分摊到该渠道人数的成本。,广告费用 ÷ 渠道人数。,公式计算,L1-002 广告费用；L2-035 渠道人数,流量数据沉淀,原Sheet下方横向身份证,有,,该指标不是传统新增获客CAC，名称需避免与M-004混淆。,,
L2-037,L2,汇总/一次派生指标,渠道人均进阶金额,M-154,某渠道进阶金额平均分摊到该渠道人数的金额。,进阶金额 ÷ 渠道人数。,公式计算,L2-001 进阶金额；L2-035 渠道人数,流量数据沉淀,原Sheet下方横向身份证,有,,该指标不是M-002的内部总配额口径LTV。,,
L1-064,L1,原始字段,面试分类原始记录,新增原始字段,用于形成“面试分类人数”的逐条原始事实或明细记录；本身不做汇总和公式计算。,从当前表人工汇总。所指向的原始来源逐条拉取或登记。,原始明细拉取/登记,无,面试情况,由L2-038的上游来源抽取,有,602原始包没有结构化面试分类明细。,,,需说明左右两块统计快照。
L2-038,L2,汇总/一次派生指标,面试分类人数,M-155,按面试大类或细分类汇总的人数；分类是维度。,当前表人工汇总。,手动汇总,L1-064 面试分类原始记录,面试情况,原Sheet下方横向身份证,有,602原始包没有结构化面试分类明细。,,,需说明左右两块统计快照。
L3-075,L3,复合业务指标,面试大类占比,M-156,某面试大类人数占面试统计总人数的比例。,大类人数 ÷ 面试统计总人数。,公式计算,L2-038 面试分类人数,面试情况,原Sheet下方横向身份证,有,,,需明确总人数单元格和去重规则。,
L3-076,L3,复合业务指标,面试细分类占比,M-157,某细分类人数占所属面试大类人数的比例。,细分类人数 ÷ 所属大类人数。,公式计算,L2-038 面试分类人数,面试情况,原Sheet下方横向身份证,有,,,右侧细分类合计102，低于总数104，存在2人缺口。,
L1-065,L1,原始字段,启航营学员状态原始记录,新增原始字段,用于形成“启航营学员状态人数”的逐条原始事实或明细记录；本身不做汇总和公式计算。,从当前表人工汇总。所指向的原始来源逐条拉取或登记。,原始明细拉取/登记,无,面试情况,由L2-039的上游来源抽取,有,602原始包没有对应状态明细。,,,
L2-039,L2,汇总/一次派生指标,启航营学员状态人数,M-158,按启航营学员状态分类汇总的人数。,当前表人工汇总。,手动汇总,L1-065 启航营学员状态原始记录,面试情况,原Sheet下方横向身份证,有,602原始包没有对应状态明细。,,,
L3-077,L3,复合业务指标,启航营学员状态占比,M-159,某启航营学员状态人数占状态总人数的比例。,状态人数 ÷ 状态总人数。,公式计算,L2-039 启航营学员状态人数,面试情况,原Sheet下方横向身份证,有,,,,需锁定统计快照。
